"","x"
"1577",40000
"1578",34240
"1579",41324
"1580",30910
"1581",30061
"1582",28308
"1583",27635
"1584",37013
"1585",49301
"1586",26484
"1587",28439
"1588",35686
"1589",27326
"1590",30738
"1591",26667
"1592",48203
"1593",34570
"1594",38750
"1595",44418
"1596",39688
"1597",49088
"1598",31509
"1599",47541
"1600",45033
"1601",44145
"1602",36957
"1603",38284
"1604",37490
"1605",36127
"1606",47863
"1607",56419
"1608",53176
"1609",37222
"1610",59605
"1611",32218
"1612",56944
"1613",46333
"1614",62750
"1615",69315
"1616",58646
"1617",41150
"1618",34926
"1619",42391
"1620",35521
"1621",31794
"1622",32308
"1623",43913
"1624",49130
"1625",46563
"1626",53094
"1627",37969
"1628",52974
"1629",32473
"1630",40503
"1631",30807
"1632",33804
"1633",41010
"1634",28235
"1635",31588
"1636",43446
"1637",62267
"1638",42323
"1639",36779
"1640",46591
"1641",34291
"1642",27142
"1643",33750
"1644",30169
"1645",35014
"1646",35163
"1647",31476
"1648",35618
"1649",37826
"1650",28355
"1651",66289
"1652",82413
"1653",71250
"1654",44269
"1655",29182
"1656",25935
"1657",51474
"1658",31125
"1659",28579
"1660",37821
"1661",51016
"1662",31169
"1663",48490
"1664",37057
"1665",42402
"1666",43977
"1667",35120
"1668",41429
"1669",41393
"1670",201188
"1671",104468
"1672",67905
"1673",115774
"1674",126250
"1675",97354
"1676",120426
"1677",103640
"1678",66250
"1679",69359
"1680",61672
"1681",52941
"1682",95417
"1683",56641
"1684",74671
"1685",86273
"1686",80513
"1687",177375
"1688",210893
"1689",31297
"1690",31491
"1691",80292
"1692",37083
"1693",31000
"1694",51566
"1695",41655
"1696",40616
"1697",58214
"1698",84205
"1699",57011
"1700",64692
"1701",55387
"1702",35217
"1703",61250
"1704",42177
"1705",94837
"1706",80658
"1707",57946
"1708",64125
"1709",31096
"1710",41723
"1711",70216
"1712",19914
"1713",85603
"1714",60938
"1715",61446
"1716",65902
"1717",24514
"1718",60417
"1719",74750
"1720",36433
"1721",51324
"1722",43682
"1723",39531
"1724",42301
"1725",51488
"1726",62394
"1727",77396
"1728",34832
"1729",65677
"1730",30033
"1731",134625
"1732",71350
"1733",72143
"1734",81250
"1735",38077
"1736",77821
"1737",57994
"1738",51055
"1739",51000
"1740",72305
"1741",104090
"1742",37038
"1743",28417
"1744",47500
"1745",24808
"1746",31733
"1747",29500
"1748",48627
"1749",40148
"1750",33159
"1751",36463
"1752",62039
"1753",97042
"1754",35672
"1755",107067
"1756",120100
"1757",127353
"1758",156058
"1759",68594
"1760",37462
"1761",36639
"1762",37500
"1763",36875
"1764",25333
"1765",72419
"1766",86815
"1767",42375
"1768",35743
"1769",21969
"1770",30740
"1771",58190
"1772",22118
"1773",42236
"1774",19536
"1775",25557
"1776",76125
"1777",73803
"1778",30931
"1779",29795
"1780",22180
"1781",26979
"1782",22427
"1783",36716
"1784",32434
"1785",22467
"1786",28523
"1787",21022
"1788",250001
"1789",35867
"1790",48480
"1791",24453
"1792",53631
"1793",44883
"1794",45565
"1795",35829
"1796",59076
"1797",33370
"1798",30021
"1799",31635
"1800",31042
"1801",44099
"1802",128875
"1803",79271
"1804",90525
"1805",60639
"1806",90833
"1807",31403
"1808",30667
"1809",36480
"1810",26010
"1811",31449
"1812",26797
"1813",32466
"1814",25986
"1815",41534
"1816",50137
"1817",51952
"1818",39813
"1819",52044
"1820",85046
"1821",126471
"1822",160143
"1823",43034
